Food-Name,"Energy-
-kJ","Protein-
-g","Fat
-g","carbohydrate
-g",sugars-g,"Sodium-Na-
-mg","Zinc-Zn-
-mg","Folate
-ug","Pyridoxine-B6-
-mg","Cobalamin-B12-
-ug","Vitamin-D3
-ug","Vitamin-C-
-mg","Vitamin-A
-ug","Iron-Fe-
-mg","Calcium-Ca-
-mg","Selenium-Se-
-ug",per-100g
"Bread, from white flour, Italian-style, commercial","1,070",9,2.5,46.8,2,500,0.77,35,0.02,0,0,0,0,0.84,16,7,per 100g
"Bread, from white flour, Italian-style, commercial, toasted","1,274",10.7,3,55.7,2.4,595,0.92,35,0.02,0,0,0,0,1,19,8.3,per 100g
"Bread roll, from white flour, toasted","1,214",10.8,3.4,51.9,4,442,0.96,11,0.07,0,0,0,0,1.47,125,12.8,per 100g
"Bread roll, topped with cheese","1,173",12.4,9,35.8,2.8,441,1.35,13,0.05,0.2,0.02,0,40,1.04,238,11.9,per 100g
"Bread roll, topped with cheese & bacon","1,174",16.6,11.2,27,2.3,765,1.61,11,0.15,0.4,0.02,0,40,0.91,218,15.3,per 100g
"Bread, from wholemeal flour, toasted","1,168",12.2,2.9,46.1,3.7,492,1.46,18,0.1,0.1,0,0,0,2.32,157,14.4,per 100g
"Bread, from wholemeal flour, extra grainy & seeds","1,077",11,4.4,38.9,2.9,370,1.46,20,0.1,0,0,0,0,2.2,126,12.2,per 100g
"Bread, from wholemeal flour, extra grainy & seeds, toasted","1,267",13,5.1,45.8,3.4,435,1.72,20,0.12,0,0,0,0,2.59,149,14.4,per 100g
"Bread roll, from wholemeal flour","1,095",10.1,3,45.2,3,560,1.1,63,0.14,0.1,0,0,0,2.5,90,12,per 100g
"Bread roll, from wholemeal flour, toasted","1,288",11.9,3.5,53.1,3.5,659,1.29,63,0.17,0.2,0,0,0,2.94,106,14.1,per 100g
"Bread, organic","1,034",11.6,2.9,40.3,1.3,490,1.2,18,0.09,0,0,0,0,1.8,48,9.8,per 100g
"Bread, organic, toasted","1,216",13.7,3.4,47.4,1.5,576,1.41,18,0.1,0,0,0,0,2.12,56,11.5,per 100g
"Bread, mixed grain","1,078",10.7,4.5,39.8,2.5,409,1.17,14,0.12,0.1,0,0,0,1.73,155,11.6,per 100g
"Bread, mixed grain, toasted","1,268",12.6,5.3,46.8,3,481,1.37,14,0.14,0.2,0,0,0,2.04,182,13.6,per 100g
"Bread, from white flour, extra grainy & seeds","1,149",10.5,4.4,44.7,2.8,365,1.28,16,0.1,0,0,0,0,1.91,81,11,per 100g
"Bread, from white flour, extra grainy & seeds, toasted","1,352",12.3,5.2,52.6,3.3,429,1.5,16,0.12,0,0,0,0,2.24,96,13,per 100g
"Bread roll, mixed grain","1,046",12.2,3,40.3,2.3,660,1.7,46,0.2,0.1,0,0,1,4.7,160,16,per 100g
